Gene	pre.Tx	post.Tx
NF2	1.92	0.97
NME1	1.54	0.76
NOL3	1.92	1.06
NOLC1	2.04	0.71
NOV	1.33	1.12
NPC1	1.35	1.19
NR1H3	2.44	1.08
NR4A1	1.59	1.19
NR4A3	1.59	1.11
NRAS	1.96	0.73
NRIP1	1.64	1.20
NSD1	2.38	0.81
NTHL1	1.52	1.04
NUF2	1.43	0.81
NUP62	2.38	0.61
NUSAP1	1.16	0.69
OAS1	1.23	1.06
OASL	1.41	1.01
OCLN	1.52	0.99
OGG1	4.55	1.16
ORC6	1.20	0.77
PABPC1	1.04	0.79
PCNA	0.93	0.61
PCOLCE	1.06	1.27
PCSK6	1.30	1.11
PDIA4	1.01	0.71
PDPK1	2.86	1.10
PDZK1	1.22	1.12
PER1	1.79	1.16
PFKL	2.50	0.64
PGR	1.28	1.18
PIAS4	3.57	1.25
PIK3R2	2.38	0.66
PIK3R3	1.52	0.79
PIM2	2.08	1.20
PITRM1	3.23	0.76
PKM	1.79	0.69
PKMYT1	1.47	0.75
PLAU	1.45	0.95
PLCG1	2.94	0.66
PLK1	0.96	0.73
PLK4	1.82	0.77
PMAIP1	1.39	1.10
PMS2P3	2.17	0.78
POLD1	1.47	0.91
POLD2	1.35	0.62
POLR2D	4.17	0.85
PPAP2A	2.86	1.27
PPAP2B	2.78	1.49
PPID	1.69	0.81
PPP2R2C	1.12	0.93
PPP2R4	1.64	0.77
PRC1	1.52	0.80
PRDX6	2.94	0.73
PRKCZ	1.96	0.90
PRL	1.00	1.03
PTGS2	1.22	1.16
PTN	0.93	1.05
RAB25	1.18	0.80
RAD21	1.11	0.74
RASD1	1.14	1.14
RASGRF2	0.98	1.43
RASSF7	1.72	0.96
RBL1	0.94	0.72
RELN	1.05	1.08
RET	1.01	1.03
RGS2	2.04	1.09
RHOU	1.00	1.11
RIPK2	1.96	0.88
RPS4X	3.03	0.78
RRM2	0.78	0.70
RUNX1T1	1.27	1.28
SAP30	2.22	0.88
SELE	1.30	1.19
SERPINA3	1.16	1.03
SERPINE1	0.95	1.08
SERTAD1	2.33	1.45
SFN	1.32	0.83
SFRP1	1.16	0.96
SFRP4	1.30	1.20
SGK1	0.74	1.05
SLC16A3	0.95	0.85
SLC19A3	1.09	1.08
SLC27A4	1.54	1.06
SLC2A3	1.33	1.10
SLIT2	1.01	1.25
SMAD9	1.20	1.15
SOCS3	0.52	1.11
SOX17	1.14	1.18
SPC25	1.04	0.88
SPHK1	1.54	1.02
SPP1	0.80	0.94
SPRY1	1.41	1.14
SPRY2	1.23	1.18
SRC	2.33	0.92
SREBF1	1.20	0.90
STAT1	0.79	0.96
STEAP4	1.18	1.37
STK11	1.92	1.23
STK36	2.94	1.41
STMN1	0.75	0.61
SUSD3	1.28	1.09
SYCP2	1.08	0.93
TAP1	1.35	1.01
TBP	2.63	1.03
TCF4	0.62	1.33
TCF7L1	0.74	1.05
TEK	0.63	1.39
TESC	0.75	1.16
TFF1	0.97	1.01
TGFB3	0.76	1.37
TGFBR2	0.42	1.39
THBS2	0.68	1.14
THBS4	1.02	1.04
TIPARP	0.63	1.22
TK1	0.71	0.75
TMEM132A	0.66	0.72
TMPRSS2	0.76	1.02
TNC	0.96	0.95
TNFAIP3	0.74	1.18
TNFRSF1B	0.56	1.33
TNN	1.18	1.06
TNXB	1.22	1.19
TOP2A	0.72	0.77
TPO	0.99	1.18
TPX2	0.57	0.70
TRAF2	2.08	0.86
TRIB1	1.16	1.09
TSC22D3	0.99	1.10
TSPAN7	1.08	1.33
TUBB3	0.82	0.88
TWIST1	0.94	1.11
TWIST2	1.12	1.16
TXNIP	0.53	1.22
TYMS	0.73	0.70
UBE2T	1.06	0.83
VCAM1	0.75	1.22
WNT2	1.32	1.02
XBP1	1.56	1.09
ZFP36L1	0.94	1.19
