Gene	pre.Tx	post.Tx
NR1H3	2.415458937	1.079913607
NR4A1	1.594896332	1.184834123
NR4A3	1.577287066	1.10864745
NRAS	1.953125	0.73046019
NRIP1	1.647446458	1.199040767
NSD1	2.398081535	0.81300813
NTHL1	1.526717557	1.043841336
NUF2	1.426533524	0.811030008
NUP62	2.369668246	0.608642727
NUSAP1	1.165501166	0.692520776
OAS1	1.234567901	1.064962726
OASL	1.410437236	1.014198783
OCLN	1.503759398	0.992063492
OGG1	4.484304933	1.162790698
ORC6	1.210653753	0.766871166
PABPC1	1.042752868	0.796178344
PCNA	0.938086304	0.610500611
PCOLCE	1.059322034	1.267427123
PCSK6	1.291989664	1.114827202
PDIA4	1.013171226	0.707714084
PDPK1	2.83286119	1.094091904
PDZK1	1.223990208	1.119820829
PER1	1.798561151	1.166861144
PFKL	2.487562189	0.641436818
PGR	1.287001287	1.177856302
PIAS4	3.546099291	1.25
PIK3R2	2.364066194	0.661375661
PIK3R3	1.526717557	0.79491256
PIM2	2.066115702	1.200480192
PITRM1	3.25732899	0.765696784
PKM	1.785714286	0.689655172
PKMYT1	1.479289941	0.744047619
PLAU	1.447178003	0.955109838
PLCG1	2.949852507	0.659630607
PLK1	0.957854406	0.73046019
PLK4	1.808318264	0.766871166
PMAIP1	1.390820584	1.094091904
PMS2P3	2.169197397	0.778210117
POLD1	1.461988304	0.913242009
POLD2	1.353179973	0.619962802
POLR2D	4.166666667	0.854700855
PPAP2A	2.83286119	1.267427123
PPAP2B	2.747252747	1.499250375
PPID	1.703577513	0.809716599
PPP2R2C	1.118568233	0.931098696
PPP2R4	1.636661211	0.771010023
PRC1	1.519756839	0.801924619
PRDX6	2.976190476	0.730994152
PRKCZ	1.949317739	0.900900901
PRL	1.004016064	1.030927835
PTGS2	1.213592233	1.165501166
PTN	0.938967136	1.049317943
RAB25	1.182033097	0.798722045
RAD21	1.116071429	0.73800738
RASD1	1.136363636	1.132502831
RASGRF2	0.977517107	1.432664756
RASSF7	1.736111111	0.958772771
RBL1	0.944287063	0.722021661
RELN	1.057082452	1.076426265
RET	1.014198783	1.033057851
RGS2	2.040816327	1.091703057
RHOU	1.002004008	1.111111111
RIPK2	1.956947162	0.884173298
RPS4X	3.048780488	0.78369906
RRM2	0.779423227	0.69735007
RUNX1T1	1.27064803	1.275510204
SAP30	2.207505519	0.874890639
SELE	1.305483029	1.191895113
SERPINA3	1.160092807	1.027749229
SERPINE1	0.949667616	1.072961373
SERTAD1	2.325581395	1.443001443
SFN	1.324503311	0.825763832
SFRP1	1.157407407	0.956937799
SFRP4	1.293661061	1.204819277
SGK1	0.7390983	1.052631579
SLC16A3	0.953288847	0.847457627
SLC19A3	1.089324619	1.071811361
SLC27A4	1.53609831	1.067235859
SLC2A3	1.335113485	1.100110011
SLIT2	1.014198783	1.251564456
SMAD9	1.201923077	1.146788991
SOCS3	0.520291363	1.114827202
SOX17	1.136363636	1.175088132
SPC25	1.038421599	0.882612533
SPHK1	1.526717557	1.024590164
SPP1	0.799360512	0.941619586
SPRY1	1.408450704	1.132502831
SPRY2	1.231527094	1.182033097
SRC	2.34741784	0.913242009
SREBF1	1.209189843	0.903342367
STAT1	0.788643533	0.959692898
STEAP4	1.182033097	1.366120219
STK11	1.908396947	1.226993865
STK36	2.923976608	1.406469761
STMN1	0.744047619	0.610128127
SUSD3	1.278772379	1.091703057
SYCP2	1.069518717	0.923361034
TAP1	1.356852103	1.01010101
TBP	2.652519894	1.029866117
TCF4	0.618811881	1.338688086
TCF7L1	0.73964497	1.050420168
TEK	0.625782228	1.39275766
TESC	0.747943156	1.164144354
TFF1	0.969932105	1.015228426
TGFB3	0.760456274	1.379310345
TGFBR2	0.424268137	1.396648045
THBS2	0.674308833	1.132502831
THBS4	1.017293998	1.044932079
TIPARP	0.625390869	1.216545012
TK1	0.710732054	0.747384155
TMEM132A	0.658761528	0.717360115
TMPRSS2	0.765110941	1.019367992
TNC	0.959692898	0.952380952
TNFAIP3	0.73964497	1.180637544
TNFRSF1B	0.555864369	1.326259947
TNN	1.17370892	1.066098081
TNXB	1.223990208	1.187648456
TOP2A	0.718390805	0.771604938
TPO	0.995024876	1.180637544
TPX2	0.569476082	0.706214689
TRAF2	2.06185567	0.859845228
TRIB1	1.156069364	1.090512541
TSC22D3	0.995024876	1.095290252
TSPAN7	1.069518717	1.333333333
TUBB3	0.818330606	0.885739593
TWIST1	0.946073794	1.111111111
TWIST2	1.119820829	1.158748552
TXNIP	0.535045479	1.216545012
TYMS	0.727802038	0.69735007
UBE2T	1.059322034	0.829875519
VCAM1	0.74682599	1.218026797
WNT2	1.308900524	1.016260163
XBP1	1.564945227	1.091703057
ZFP36L1	0.946969697	1.19047619
