Gene	TCGA_Gene	GeneSort_1080pairedSamples	Cluster_1080pairedSamples	SubCluster_1080pairedSamples	GeneSort_540preSamples	Cluster_540preSamples	Subcluster_540preSamples	Gene-Label
PCSK6	PCSK6	37	1_GoodVsPoor	1_C_EstrogenResp	260	3	1	estrogen recsponse
PMAIP1	PMAIP1	38	1_GoodVsPoor	1_C_EstrogenResp	261	3	1	estrogen recsponse
ABCA3	ABCA3	39	1_GoodVsPoor	1_C_EstrogenResp	255	3	1	estrogen recsponse
SREBF1	SREBF1	40	1_GoodVsPoor	1_C_EstrogenResp	254	3	1	estrogen recsponse
DNAJC22	DNAJC22	41	1_GoodVsPoor	1_C_EstrogenResp	247	3	1	estrogen recsponse
NAT1	NAT1	42	1_GoodVsPoor	1_C_EstrogenResp	244	3	1	estrogen recsponse
SYCP2	SYCP2	43	1_GoodVsPoor	1_C_EstrogenResp	276	3	2	Luminal cancer cells
CACNG4	CACNG4	44	1_GoodVsPoor	1_C_EstrogenResp	277	3	2	Luminal cancer cells
KRT19	KRT19	45	1_GoodVsPoor	1_C_EstrogenResp	278	3	2	Luminal cancer cells
TUBB3	TUBB3	46	1_GoodVsPoor	1_C_EstrogenResp	234	2	2	Luminal cancer cells
IL20	IL20	47	1_GoodVsPoor	1_C_EstrogenResp	281	3	2	Luminal cancer cells
CDK5R1	CDK5R1	48	1_GoodVsPoor	1_C_EstrogenResp	282	3	2	Luminal cancer cells
PPP2R2C	PPP2R2C	49	1_GoodVsPoor	1_C_EstrogenResp	283	3	2	
ABCD1	ABCD1	50	1_GoodVsPoor	1_D_RepairStress	227	2	2	
HSPA14	HSPA14	51	1_GoodVsPoor	1_D_RepairStress	231	2	2	
NPC1	NPC1	52	1_GoodVsPoor	1_D_RepairStress	232	2	2	hedgehog pathway
MST1	MST1	53	1_GoodVsPoor	1_D_RepairStress	285	3	2	Kinase signaling
NTHL1	NTHL1	54	1_GoodVsPoor	1_D_RepairStress	286	3	2	DNA repair
TRAF2	TRAF2	55	1_GoodVsPoor	1_D_RepairStress	271	3	2	apoptosis
PLCG1	PLCG1	56	1_GoodVsPoor	1_D_RepairStress	279	3	2	Kinase signaling
SRC	SRC	57	1_GoodVsPoor	1_D_RepairStress	280	3	2	Kinase signaling
LIG4	LIG4	58	1_GoodVsPoor	1_D_RepairStress	318	3	3	DNA repair
CDKN2C	CDKN2C	59	1_GoodVsPoor	1_D_RepairStress	295	3	2	angiogenesis, hypoxia, stress
NCAPD3	NCAPD3	60	1_GoodVsPoor	1_D_RepairStress	288	3	2	
PITRM1	PITRM1	61	1_GoodVsPoor	1_D_RepairStress	323	3	3	
RIPK2	RIPK2	62	1_GoodVsPoor	1_D_RepairStress	325	3	3	apoptosis
SERTAD1	SERTAD1	63	1_GoodVsPoor	1_D_RepairStress	289	3	2	angiogenesis, hypoxia, stress
OCLN	OCLN	64	1_GoodVsPoor	1_D_RepairStress	290	3	2	
PDPK1	PDPK1	65	1_GoodVsPoor	1_D_RepairStress	287	3	2	angiogenesis, hypoxia, stress
PMS2P3	PMS2L3	66	1_GoodVsPoor	1_D_RepairStress	291	3	2	
PRDX6	PRDX6	67	1_GoodVsPoor	1_D_RepairStress	328	3	3	Kinase signaling
MTDH	MTDH	68	1_GoodVsPoor	1_D_RepairStress	324	3	3	
PFKL	PFKL	69	1_GoodVsPoor	1_D_RepairStress	330	3	3	angiogenesis, hypoxia, stress
POLR2D	POLR2D	70	1_GoodVsPoor	1_D_RepairStress	331	3	3	DNA repair
NRAS	NRAS	71	1_GoodVsPoor	1_D_RepairStress	334	3	3	Kinase signaling
NUP62	NUP62	72	1_GoodVsPoor	1_D_RepairStress	335	3	3	
PDIA4	PDIA4	73	1_GoodVsPoor	1_D_RepairStress	236	2	2	
NF2	NF2	74	1_GoodVsPoor	1_D_RepairStress	294	3	2	hedgehog pathway
NOLC1	NOLC1	75	1_GoodVsPoor	1_D_RepairStress	292	3	2	
DESI1	PPPDE2	76	1_GoodVsPoor	1_D_RepairStress	293	3	2	
PPID	PPID	77	1_GoodVsPoor	1_D_RepairStress	296	3	2	apoptosis
IL18	IL18	78	1_GoodVsPoor	1_D_RepairStress	309	3	3	
NR1H3	NR1H3	79	1_GoodVsPoor	1_D_RepairStress	310	3	3	ECM remodeling, stroma
GNGT2	GNGT2	80	1_GoodVsPoor	1_D_RepairStress	326	3	3	
TBP	TBP	81	1_GoodVsPoor	1_D_RepairStress	327	3	3	
DUSP8	DUSP8	82	1_GoodVsPoor	1_D_RepairStress	265	3	2	
RPS4X	RPS4X	83	1_GoodVsPoor	1_D_RepairStress	329	3	3	
HMGB3	HMGB3	84	1_GoodVsPoor	1_D_RepairStress	313	3	3	DNA repair
IKBKG	IKBKG	85	1_GoodVsPoor	1_D_RepairStress	284	3	2	apoptosis
ADIPOR1	ADIPOR1	86	1_GoodVsPoor	1_D_RepairStress	245	3	1	angiogenesis, hypoxia, stress
DNAJC14	DNAJC14	87	1_GoodVsPoor	1_D_RepairStress	264	3	2	DNA repair
MADD	MADD	88	1_GoodVsPoor	1_D_RepairStress	266	3	2	apoptosis
CDK9	CDK9	89	1_GoodVsPoor	1_D_RepairStress	269	3	2	
GLUL	GLUL	90	1_GoodVsPoor	1_D_RepairStress	246	3	1	apoptosis
POLD1	POLD1	91	1_GoodVsPoor	1_D_RepairStress	274	3	2	DNA repair
SLC27A4	SLC27A4	92	1_GoodVsPoor	1_D_RepairStress	275	3	2	
BMI1	BMI1	93	1_GoodVsPoor	1_D_RepairStress	262	3	2	
SAP30	SAP30	94	1_GoodVsPoor	1_D_RepairStress	263	3	2	
STK36	STK36	95	1_GoodVsPoor	1_D_RepairStress	268	3	2	hedgehog pathway
OGG1	OGG1	96	1_GoodVsPoor	1_D_RepairStress	319	3	3	DNA repair
PIAS4	PIAS4	97	1_GoodVsPoor	1_D_RepairStress	267	3	2	
RAB25	RAB25	98	1_GoodVsPoor	1_D_RepairStress	243	3	1	apoptosis
RASSF7	RASSF7	99	1_GoodVsPoor	1_D_RepairStress	256	3	1	
NOL3	NOL3	100	1_GoodVsPoor	1_D_RepairStress	299	3	2	apoptosis
DVL1	DVL1	101	1_GoodVsPoor	1_D_RepairStress	297	3	2	
PRKCZ	PRKCZ	102	1_GoodVsPoor	1_D_RepairStress	298	3	2	Kinase signaling
PIK3R3	PIK3R3	103	1_GoodVsPoor	1_D_RepairStress	320	3	3	Kinase signaling
SFN	SFN	104	1_GoodVsPoor	1_D_RepairStress	300	3	2	Kinase signaling
MYCN	MYCN	105	1_GoodVsPoor	1_D_RepairStress	316	3	3	DNA repair
GPI	GPI	106	1_GoodVsPoor	1_D_RepairStress	314	3	3	angiogenesis, hypoxia, stress
PKM	PKM2	107	1_GoodVsPoor	1_D_RepairStress	315	3	3	angiogenesis, hypoxia, stress
PIK3R2	PIK3R2	108	1_GoodVsPoor	1_D_RepairStress	321	3	3	Kinase signaling
PPP2R4	PPP2R4	109	1_GoodVsPoor	1_D_RepairStress	270	3	2	angiogenesis, hypoxia, stress
NSD1	NSD1	110	1_GoodVsPoor	1_D_RepairStress	317	3	3	DNA repair
STK11	STK11	111	1_GoodVsPoor	1_D_RepairStress	322	3	3	angiogenesis, hypoxia, stress
HJURP	HJURP	112	2_Proliferation	2_Proliferation	166	2	1	cell cycle
ANLN	ANLN	113	2_Proliferation	2_Proliferation	165	2	1	cell cycle
MKI67	MKI67	114	2_Proliferation	2_Proliferation	167	2	1	cell cycle
CENPF	CENPF	115	2_Proliferation	2_Proliferation	177	2	1	cell cycle
CCNA2	CCNA2	116	2_Proliferation	2_Proliferation	168	2	1	cell cycle
BUB1	BUB1	117	2_Proliferation	2_Proliferation	170	2	1	cell cycle
CCNB1	CCNB1	118	2_Proliferation	2_Proliferation	169	2	1	cell cycle
NUF2	NUF2	119	2_Proliferation	2_Proliferation	188	2	1	cell cycle
UBE2T	UBE2T	120	2_Proliferation	2_Proliferation	189	2	1	cell cycle
CDC20	CDC20	121	2_Proliferation	2_Proliferation	197	2	1	cell cycle
PLK4	PLK4	122	2_Proliferation	2_Proliferation	333	3	3	cell cycle
CDKN3	CDKN3	123	2_Proliferation	2_Proliferation	194	2	1	cell cycle
DLGAP5	DLGAP5	124	2_Proliferation	2_Proliferation	195	2	1	cell cycle
GGH	GGH	125	2_Proliferation	2_Proliferation	203	2	1	cell cycle
GPSM2	GPSM2	126	2_Proliferation	2_Proliferation	332	3	3	cell cycle
PABPC1	PABPC1	127	2_Proliferation	2_Proliferation	204	2	1	cell cycle
CCT5	CCT5	128	2_Proliferation	2_Proliferation	202	2	1	cell cycle
POLD2	POLD2	129	2_Proliferation	2_Proliferation	273	3	2	cell cycle
PRC1	PRC1	130	2_Proliferation	2_Proliferation	185	2	1	cell cycle
FANCA	FANCA	131	2_Proliferation	2_Proliferation	182	2	1	cell cycle
GTSE1	GTSE1	132	2_Proliferation	2_Proliferation	183	2	1	cell cycle
KIF2C	KIF2C	133	2_Proliferation	2_Proliferation	184	2	1	cell cycle
CDC6	CDC6	134	2_Proliferation	2_Proliferation	172	2	1	cell cycle
TK1	TK1	135	2_Proliferation	2_Proliferation	176	2	1	cell cycle
HIST1H3H	HIST1H3H	136	2_Proliferation	2_Proliferation	174	2	1	cell cycle
H2AFX	H2AFX	137	2_Proliferation	2_Proliferation	175	2	1	cell cycle
EXO1	EXO1	138	2_Proliferation	2_Proliferation	179	2	1	cell cycle
TPX2	TPX2	139	2_Proliferation	2_Proliferation	181	2	1	cell cycle
ASPM	ASPM	140	2_Proliferation	2_Proliferation	178	2	1	cell cycle
TOP2A	TOP2A	141	2_Proliferation	2_Proliferation	180	2	1	cell cycle
ORC6	ORC6L	142	2_Proliferation	2_Proliferation	196	2	1	cell cycle
SPC25	SPC25	143	2_Proliferation	2_Proliferation	173	2	1	cell cycle
MAZ	MAZ	144	2_Proliferation	2_Proliferation	205	2	1	cell cycle
EZH2	EZH2	145	2_Proliferation	2_Proliferation	191	2	1	cell cycle
STMN1	STMN1	146	2_Proliferation	2_Proliferation	192	2	1	cell cycle
PCNA	PCNA	147	2_Proliferation	2_Proliferation	190	2	1	cell cycle
E2F1	E2F1	148	2_Proliferation	2_Proliferation	198	2	1	cell cycle
PKMYT1	PKMYT1	149	2_Proliferation	2_Proliferation	187	2	1	cell cycle
TYMS	TYMS	150	2_Proliferation	2_Proliferation	193	2	1	cell cycle
NUSAP1	NUSAP1	151	2_Proliferation	2_Proliferation	186	2	1	cell cycle
RRM2	RRM2	152	2_Proliferation	2_Proliferation	171	2	1	cell cycle
MYBL2	MYBL2	153	2_Proliferation	2_Proliferation	199	2	1	cell cycle
PLK1	PLK1	154	2_Proliferation	2_Proliferation	200	2	1	cell cycle
GPR126	GPR126	155	2_Proliferation	2_Proliferation	235	2	2	cell cycle
MYBL1	MYBL1	156	2_Proliferation	2_Proliferation	207	2	1	cell cycle
CCNE1	CCNE1	157	2_Proliferation	2_Proliferation	228	2	2	cell cycle
BRCA1	BRCA1	158	2_Proliferation	2_Proliferation	229	2	2	cell cycle
RBL1	RBL1	159	2_Proliferation	2_Proliferation	230	2	2	cell cycle
TMEM132A	TMEM132A	160	2_Proliferation	2_Proliferation	233	2	2	cell cycle
NME1	NME1	161	2_Proliferation	2_Proliferation	206	2	1	cell cycle
RAD21	RAD21	162	2_Proliferation	2_Proliferation	208	2	1	cell cycle
GAPDH	GAPDH	163	2_Proliferation	2_Proliferation	209	2	1	cell cycle
MIF	MIF	164	2_Proliferation	2_Proliferation	210	2	1	cell cycle
GRIN2A	GRIN2A	165	3_PostTxVsPreTx	3_PostTxVsPreTx	17	1	1	Normal breast tissue
CXCR1	CXCR1	166	3_PostTxVsPreTx	3_PostTxVsPreTx	16	1	1	
CYP1A1	CYP1A1	167	3_PostTxVsPreTx	3_PostTxVsPreTx	15	1	1	
FGFBP1	FGFBP1	168	3_PostTxVsPreTx	3_PostTxVsPreTx	13	1	1	angiogenesis, hypoxia, stress
CD209	CD209	169	3_PostTxVsPreTx	3_PostTxVsPreTx	11	1	1	
CDC14B	CDC14B	170	3_PostTxVsPreTx	3_PostTxVsPreTx	12	1	1	Normal breast tissue
FGF14	FGF14	171	3_PostTxVsPreTx	3_PostTxVsPreTx	18	1	1	ECM remodeling, stroma
PRL	PRL	172	3_PostTxVsPreTx	3_PostTxVsPreTx	20	1	1	angiogenesis, hypoxia, stress
CREB5	CREB5	173	3_PostTxVsPreTx	3_PostTxVsPreTx	19	1	1	Normal breast tissue
FBXW7	FBXW7	174	3_PostTxVsPreTx	3_PostTxVsPreTx	22	1	1	
MAGEL2	MAGEL2	175	3_PostTxVsPreTx	3_PostTxVsPreTx	136	1	2	
DKK2	DKK2	176	3_PostTxVsPreTx	3_PostTxVsPreTx	4	1	1	
TNN	TNN	177	3_PostTxVsPreTx	3_PostTxVsPreTx	80	1	2	
CSF2	CSF2	178	3_PostTxVsPreTx	3_PostTxVsPreTx	147	1	2	
IL4	IL4	179	3_PostTxVsPreTx	3_PostTxVsPreTx	148	1	2	angiogenesis, hypoxia, stress
GADD45G	GADD45G	180	3_PostTxVsPreTx	3_PostTxVsPreTx	162	1	2	angiogenesis, hypoxia, stress
HES1	HES1	181	3_PostTxVsPreTx	3_PostTxVsPreTx	27	1	1	
MT1A	MT1A	182	3_PostTxVsPreTx	3_PostTxVsPreTx	272	3	2	
TRIB1	TRIB1	183	3_PostTxVsPreTx	3_PostTxVsPreTx	201	2	1	
FAM105A	FAM105A	184	3_PostTxVsPreTx	3_PostTxVsPreTx	30	1	1	
HERC3	HERC3	185	3_PostTxVsPreTx	3_PostTxVsPreTx	31	1	1	
GZMB	GZMB	186	3_PostTxVsPreTx	3_PostTxVsPreTx	215	2	2	Immune cells
CXCL16	CXCL16	187	3_PostTxVsPreTx	3_PostTxVsPreTx	29	1	1	
TESC	TESC	188	3_PostTxVsPreTx	3_PostTxVsPreTx	25	1	1	
SELE	SELE	189	3_PostTxVsPreTx	3_PostTxVsPreTx	3	1	1	Normal breast tissue
IL6	IL6	190	3_PostTxVsPreTx	3_PostTxVsPreTx	14	1	1	angiogenesis, hypoxia, stress
PTGS2	PTGS2	191	3_PostTxVsPreTx	3_PostTxVsPreTx	2	1	1	Normal breast tissue
CXCL2	CXCL2	192	3_PostTxVsPreTx	3_PostTxVsPreTx	8	1	1	angiogenesis, hypoxia, stress
CXCL3	CXCL3	193	3_PostTxVsPreTx	3_PostTxVsPreTx	9	1	1	angiogenesis, hypoxia, stress
ADIPOQ	ADIPOQ	194	3_PostTxVsPreTx	3_PostTxVsPreTx	70	1	2	Adipocytes
SLC19A3	SLC19A3	195	3_PostTxVsPreTx	3_PostTxVsPreTx	7	1	1	
ADM	ADM	196	3_PostTxVsPreTx	3_PostTxVsPreTx	121	1	2	angiogenesis, hypoxia, stress
CNTFR	CNTFR	197	3_PostTxVsPreTx	3_PostTxVsPreTx	21	1	1	Normal breast tissue
MAPK10	MAPK10	198	3_PostTxVsPreTx	3_PostTxVsPreTx	23	1	1	Normal breast tissue
COL4A3	COL4A3	199	3_PostTxVsPreTx	3_PostTxVsPreTx	24	1	1	angiogenesis, hypoxia, stress
LYVE1	LYVE1	200	3_PostTxVsPreTx	3_PostTxVsPreTx	5	1	1	angiogenesis, hypoxia, stress
CLCA2	CLCA2	201	3_PostTxVsPreTx	3_PostTxVsPreTx	125	1	2	Normal breast tissue
HMGCS2	HMGCS2	202	3_PostTxVsPreTx	3_PostTxVsPreTx	40	1	1	
ANXA3	ANXA3	203	3_PostTxVsPreTx	3_PostTxVsPreTx	126	1	2	Normal breast tissue
MAOB	MAOB	204	3_PostTxVsPreTx	3_PostTxVsPreTx	138	1	2	
AKR1C3	AKR1C3	205	3_PostTxVsPreTx	3_PostTxVsPreTx	38	1	1	
SOX17	SOX17	206	3_PostTxVsPreTx	3_PostTxVsPreTx	142	1	2	
CITED2	CITED2	207	3_PostTxVsPreTx	3_PostTxVsPreTx	42	1	1	
LIFR	LIFR	208	3_PostTxVsPreTx	3_PostTxVsPreTx	85	1	2	Adipocytes
RHOU	RHOU	209	3_PostTxVsPreTx	3_PostTxVsPreTx	39	1	1	
LRP2	LRP2	210	3_PostTxVsPreTx	3_PostTxVsPreTx	86	1	2	
STEAP4	STEAP4	211	3_PostTxVsPreTx	3_PostTxVsPreTx	84	1	2	
CCL2	CCL2	212	4_NormalBreast	4_NormalBreast	218	2	2	Immune cells
TNFRSF1B	TNFRSF1B	213	4_NormalBreast	4_NormalBreast	101	1	2	Immune cells
VCAM1	VCAM1	214	4_NormalBreast	4_NormalBreast	98	1	2	Immune cells
CXCR4	CXCR4	215	4_NormalBreast	4_NormalBreast	99	1	2	Immune cells
TNFAIP3	TNFAIP3	216	4_NormalBreast	4_NormalBreast	100	1	2	Immune cells
RGS2	RGS2	217	4_NormalBreast	4_NormalBreast	308	3	3	Basal
SGK1	SGK1	218	4_NormalBreast	4_NormalBreast	226	2	2	Tissue handling (surgery vs biopsy)
EDN1	EDN1	219	4_NormalBreast	4_NormalBreast	124	1	2	Normal breast tissue
GADD45A	GADD45A	220	4_NormalBreast	4_NormalBreast	131	1	2	
MAFF	MAFF	221	4_NormalBreast	4_NormalBreast	307	3	3	Tissue handling (surgery vs biopsy)
ADAMTS1	ADAMTS1	222	4_NormalBreast	4_NormalBreast	123	1	2	Normal breast tissue
ETS2	ETS2	223	4_NormalBreast	4_NormalBreast	10	1	1	Tissue handling (surgery vs biopsy)
TSC22D3	TSC22D3	224	4_NormalBreast	4_NormalBreast	43	1	1	
RASD1	RASD1	225	4_NormalBreast	4_NormalBreast	37	1	1	Tissue handling (surgery vs biopsy)
PER1	PER1	226	4_NormalBreast	4_NormalBreast	44	1	2	Normal breast tissue
SPRY1	SPRY1	227	4_NormalBreast	4_NormalBreast	53	1	2	Normal breast tissue
F3	F3	228	4_NormalBreast	4_NormalBreast	140	1	2	angiogenesis, hypoxia, stress
CEBPD	CEBPD	229	4_NormalBreast	4_NormalBreast	139	1	2	Tissue handling (surgery vs biopsy)
TIPARP	TIPARP	230	4_NormalBreast	4_NormalBreast	41	1	1	
JUN	JUN	231	4_NormalBreast	4_NormalBreast	113	1	2	Tissue handling (surgery vs biopsy)
NR4A1	NR4A1	232	4_NormalBreast	4_NormalBreast	305	3	3	Tissue handling (surgery vs biopsy)
EGR1	EGR1	233	4_NormalBreast	4_NormalBreast	117	1	2	Tissue handling (surgery vs biopsy)
DUSP1	DUSP1	234	4_NormalBreast	4_NormalBreast	116	1	2	Tissue handling (surgery vs biopsy)
FOS	FOS	235	4_NormalBreast	4_NormalBreast	115	1	2	Tissue handling (surgery vs biopsy)
DLC1	DLC1	236	4_NormalBreast	4_NormalBreast	54	1	2	
SERPINE1	SERPINE1	237	4_NormalBreast	4_NormalBreast	90	1	2	angiogenesis, hypoxia, stress
CTGF	CTGF	238	4_NormalBreast	4_NormalBreast	87	1	2	Tissue handling (surgery vs biopsy)
CYR61	CYR61	239	4_NormalBreast	4_NormalBreast	88	1	2	Tissue handling (surgery vs biopsy)
BTG2	BTG2	240	4_NormalBreast	4_NormalBreast	242	3	1	angiogenesis, hypoxia, stress
HBEGF	HBEGF	241	4_NormalBreast	4_NormalBreast	157	1	2	
LIF	LIF	242	4_NormalBreast	4_NormalBreast	132	1	2	
CDKN1A	CDKN1A	243	4_NormalBreast	4_NormalBreast	26	1	1	
EGR3	EGR3	244	4_NormalBreast	4_NormalBreast	111	1	2	Tissue handling (surgery vs biopsy)
NR4A3	NR4A3	245	4_NormalBreast	4_NormalBreast	306	3	3	Tissue handling (surgery vs biopsy)
JUNB	JUNB	246	4_NormalBreast	4_NormalBreast	114	1	2	Tissue handling (surgery vs biopsy)
SLC2A3	SLC2A3	247	4_NormalBreast	4_NormalBreast	122	1	2	
GADD45B	GADD45B	248	4_NormalBreast	4_NormalBreast	89	1	2	Tissue handling (surgery vs biopsy)
SOCS3	SOCS3	249	4_NormalBreast	4_NormalBreast	28	1	1	Tissue handling (surgery vs biopsy)
TWIST1	TWIST1	250	4_NormalBreast	4_NormalBreast	58	1	2	Normal breast tissue
FLNC	FLNC	251	4_NormalBreast	4_NormalBreast	60	1	2	Normal breast tissue
TWIST2	TWIST2	252	4_NormalBreast	4_NormalBreast	61	1	2	Normal breast tissue
BAG2	BAG2	253	4_NormalBreast	4_NormalBreast	153	1	2	Normal breast tissue
FAS	FAS	254	4_NormalBreast	4_NormalBreast	109	1	2	Normal breast tissue
GAS1	GAS1	255	4_NormalBreast	4_NormalBreast	93	1	2	Normal breast tissue
COL1A2	COL1A2	256	4_NormalBreast	4_NormalBreast	94	1	2	Normal breast tissue
THBS2	THBS2	257	4_NormalBreast	4_NormalBreast	95	1	2	Normal breast tissue
MMP2	MMP2	258	4_NormalBreast	4_NormalBreast	96	1	2	Normal breast tissue
PCOLCE	PCOLCE	259	4_NormalBreast	4_NormalBreast	97	1	2	Normal breast tissue
TNC	TNC	260	4_NormalBreast	4_NormalBreast	133	1	2	Normal breast tissue
FLJ10474	ODZ3	261	4_NormalBreast	4_NormalBreast	134	1	2	Normal breast tissue
RASGRF2	RASGRF2	262	4_NormalBreast	4_NormalBreast	135	1	2	Normal breast tissue
NOV	NOV	263	4_NormalBreast	4_NormalBreast	45	1	2	Normal breast tissue
SFRP4	SFRP4	264	4_NormalBreast	4_NormalBreast	50	1	2	Normal breast tissue
IGF2	IGF2	265	4_NormalBreast	4_NormalBreast	63	1	2	Normal breast tissue
TGFB3	TGFB3	266	4_NormalBreast	4_NormalBreast	64	1	2	Normal breast tissue
CDKN1C	CDKN1C	267	4_NormalBreast	4_NormalBreast	62	1	2	Normal breast tissue
PPAP2A	PPAP2A	268	4_NormalBreast	4_NormalBreast	46	1	2	Normal breast tissue
PPAP2B	PPAP2B	269	4_NormalBreast	4_NormalBreast	47	1	2	Normal breast tissue
PTN	PTN	270	4_NormalBreast	4_NormalBreast	137	1	2	Normal breast tissue
RUNX1T1	RUNX1T1	271	4_NormalBreast	4_NormalBreast	52	1	2	Normal breast tissue
FAT4	FAT4	272	4_NormalBreast	4_NormalBreast	78	1	2	Normal breast tissue
FLRT2	FLRT2	273	4_NormalBreast	4_NormalBreast	49	1	2	Normal breast tissue
FGF7	FGF7	274	4_NormalBreast	4_NormalBreast	48	1	2	Normal breast tissue
ALDH1A1	ALDH1A1	275	4_NormalBreast	4_NormalBreast	51	1	2	Normal breast tissue
IGF1	IGF1	276	4_NormalBreast	4_NormalBreast	73	1	2	Normal breast tissue
MEIS1	MEIS1	277	4_NormalBreast	4_NormalBreast	65	1	2	Normal breast tissue
EGFR	EGFR	278	4_NormalBreast	4_NormalBreast	59	1	2	Normal breast tissue
BOC	BOC	279	4_NormalBreast	4_NormalBreast	67	1	2	Normal breast tissue
ID4	ID4	280	4_NormalBreast	4_NormalBreast	66	1	2	Normal breast tissue
ALDH1A3	ALDH1A3	281	4_NormalBreast	4_NormalBreast	130	1	2	Normal breast tissue
C3	C3	282	4_NormalBreast	4_NormalBreast	128	1	2	Normal breast tissue
CYP1B1	CYP1B1	283	4_NormalBreast	4_NormalBreast	108	1	2	Normal breast tissue
CAV2	CAV2	284	4_NormalBreast	4_NormalBreast	57	1	2	Normal breast tissue
EMP1	EMP1	285	4_NormalBreast	4_NormalBreast	55	1	2	Normal breast tissue
FOXO1	FOXO1	286	4_NormalBreast	4_NormalBreast	110	1	2	Normal breast tissue
TCF4	TCF4	287	4_NormalBreast	4_NormalBreast	103	1	2	Normal breast tissue
ANXA1	ANXA1	288	4_NormalBreast	4_NormalBreast	102	1	2	Normal breast tissue
DAB2	DAB2	289	4_NormalBreast	4_NormalBreast	104	1	2	Normal breast tissue
GSTP1	GSTP1	290	4_NormalBreast	4_NormalBreast	127	1	2	Normal breast tissue
ZFP36L1	ZFP36L1	291	4_NormalBreast	4_NormalBreast	129	1	2	Normal breast tissue
AKT3	AKT3	292	4_NormalBreast	4_NormalBreast	106	1	2	Normal breast tissue
